Id;Nom;Numero;Localisation;Ville;Commune;Quartier;Position
312;Pharmacie Che N'Talé ;23 52 62 03 ;Yopougon ananeraie, carrefour Guichanrolain ;Abidjan;Yopougon;Zone Ouest;5.3510265,4.0968284
313;Pharmacie Cité Maroc ;23 51 87 58 ;Yopougon Quartier Maroc ;Abidjan;Yopougon;Zone Ouest;5.3398909,4.1005611
314;Pharmacie d'Andokoi ;23 50 95 02 ;Yopougon Andokoi, face au Lycée municipal ;Abidjan;Yopougon;Zone Ouest;5.3623049,4.0670996
315;Pharmacie D'Attinguié ;23 47 43 30 ;;Abidjan;Yopougon;Zone Ouest;5.39827215,4.12220485
316;Pharmacie de Gesco ;23 46 99 58 ;Route de Dabou, face au marché de la GESCO ;Abidjan;Yopougon;Zone Ouest;5.3631144,4.0976473
317;Pharmacie de l'Autoroute ;23 52 61 75 ;Gesco, Terminus 34, près Brigade auto routière ;Abidjan;Yopougon;Zone Ouest;5.3430931,4.0093957
318;Pharmacie de l'Horeb ;23 51 88 89 ;Yop Sideci Lem, carrefour SGBCI, face 1er lavage ;Abidjan;Yopougon;Zone Ouest;5.3296883,4.0819027
319;Pharmacie du Carrefour Boby ;23 52 16 39 ;Niangon, base CIE ;Abidjan;Yopougon;Zone Ouest;5.3317872,4.09088405
320;Pharmacie du Jubilé ;01 05 26 10 ;Route de Dabou, face marché Bagnon ;Abidjan;Yopougon;Zone Ouest;5.3727853,4.0481772
321;Pharmacie du Progrès ;23 46 59 02 ;Yopougon Maroc, à 50m de Ivoire Oil ;Abidjan;Yopougon;Zone Ouest;5.3468494,4.0993434
322;Pharmacie ELKANAH ;23 50 88 19 ;A 100m de Grand Centre, sur l'axe de la Phcie St Hermann ;Abidjan;Yopougon;Zone Ouest;5.335359,4.0878327
323;Pharmacie Esther ;23 46 39 36 ;Niangon sud, à droite, près clinique la Rose ;Abidjan;Yopougon;Zone Ouest;5.3260264,4.1058797
324;Pharmacie Gnimah ;23 46 54 89 ;Port Bouet 2, près de l'ancienne gare, 2è arrèt du bus 39 ;Abidjan;Yopougon;Zone Ouest;5.3519204,4.0876108
325;Pharmacie Jean-Pierre ;23 46 30 03 ;Yopougon Niangon Sud à droite, Terminus 39 ;Abidjan;Yopougon;Zone Ouest;5.3221261,4.1034565
326;Pharmacie La Délivrance ;23 51 13 79 ;Zone industrielle de Yopougon ;Abidjan;Yopougon;Zone Ouest;5.3436008,4.0861935
327;Pharmacie Lagoma ;23 52 70 70 ;Niangon Académie ;Abidjan;Yopougon;Zone Ouest;5.3236897,4.108764
328;Pharmacie Le Jourdain ;23 46 06 33 ;Niangon nord, route de Cité verte ;Abidjan;Yopougon;Zone Ouest;5.3314981,4.1081748
329;Pharmacie Le Lotus ;23 45 06 66 ;Niangon Sud à gauche, Terminus Bus 27 ;Abidjan;Yopougon;Zone Ouest;5.3170826,4.0888528
330;Pharmacie Léa ;23 46 02 15 ;Yopougon Niangon ;Abidjan;Yopougon;Zone Ouest;5.3271044,4.0922051
331;Pharmacie Les Elysées ;23 46 84 85 ;Yopougon quartier Maroc ;Abidjan;Yopougon;Zone Ouest;5.3437604,4.0964314
332;Pharmacie Les Phalènes ;23 46 01 71 ;Niangon sud, près de la paroisse Saint Pierre ;Abidjan;Yopougon;Zone Ouest;5.3233439,4.0878166
333;Pharmacie Maty ;23 46 27 15 ;Près de Station Lubafrique du Maroc ;Abidjan;Yopougon;Zone Ouest;5.3326964,4.1035035
334;Pharmacie Niangon Lokoa ;23 45 07 80 ;Entrée du village Niangon Lokoa ;Abidjan;Yopougon;Zone Ouest;5.314679,4.0999854
335;Pharmacie Niangon Nord ;23 46 32 99 ;Yopougon Cité Verte ;Abidjan;Yopougon;Zone Ouest;5.3293124,4.1024611
336;Pharmacie Péniel ;23 45 42 82 ;Yopougon ananeraie, Rond Point Gesco ;Abidjan;Yopougon;Zone Ouest;5.3558394,4.0992951
337;Pharmacie Sainte Hermann ;23 50 72 77 ;Niangon Sud, carrefour Petro Ivoire ;Abidjan;Yopougon;Zone Ouest;5.3462412,4.0373963
338;Pharmacie Sainte Rita ;23 45 50 79 ;Niangon nord, près de la Paroisse Sainte Rita ;Abidjan;Yopougon;Zone Ouest;5.3274326,4.0965003
339;Pharmacie Sandrina ;23 46 47 64 ;Yopougon ananeraie, carrefour libanais ;Abidjan;Yopougon;Zone Ouest;5.3491829,4.0993478
340;Pharmacie Santé Plus ;23 52 58 66 ;Autoroute du Nord, avant Station Shell Corridor ;Abidjan;Yopougon;Zone Ouest;5.3668217,4.0999952
341;Pharmacie Siloé ;23 52 03 40 ;Yopougon ananeraie, à 200m du carrefour du CHU ;Abidjan;Yopougon;Zone Ouest;5.3548463,4.0946445
342;Pharmacie Zeulayet ;23 45 20 39 ;Face Mosquée du Maroc ;Abidjan;Yopougon;Zone Ouest;5.3400108,4.0975862
343;Pharmacie Zone Industrielle ;23 46 51 08 ;Zone industrielle, près de la BICICI ;Abidjan;Yopougon;Zone Ouest;5.38963975,4.11412675
344;Pharmacie Akwaba ;21 58 73 15 ;Dans le hall de l'aéroport ;Abidjan;Port Bouet;Port Bouet et Vridi ;5.2660156,3.90938265
345;Pharmacie Atlantique ;21 27 95 00 ;Port Bouet, Marché de nuit ;Abidjan;Port Bouet;Port Bouet et Vridi ;5.2547817,3.9640588
346;Pharmacie Balnéaire ;21 58 07 09 ;Face au 43ème Bima ;Abidjan;Port Bouet;Port Bouet et Vridi ;5.2561636,3.9574804
347;Pharmacie de la Baltique ;21 27 66 71 ;En face de l'abattoir ;Abidjan;Port Bouet;Port Bouet et Vridi ;5.2590817,3.969036
348;Pharmacie de l'Océan ;21 27 78 48 ;Quartier Sogephia Siporex ;Abidjan;Port Bouet;Port Bouet et Vridi ;5.2569482,3.9613116
349;Pharmacie de Port Bouet ;21 27 89 17 ;Près de la Mairie de Port Bouet ;Abidjan;Port Bouet;Port Bouet et Vridi ;5.2595186,3.9500178
350;Pharmacie des Entreprises ;21 27 17 32 ;Zone industrielle de Vridi, feu Premoto après SGBCI ;Abidjan;Port Bouet;Port Bouet et Vridi ;5.2667386,4.0025451
351;Pharmacie Djessou ;21 27 23 15 ;Port Bouet Vridi 3, près de l'EPP Vridi 3 (Zimbabwe) ;Abidjan;Port Bouet;Port Bouet et Vridi ;5.2622986,3.984016
352;Pharmacie du Phare ;21 27 73 73 ;Près du phare de Port Bouet ;Abidjan;Port Bouet;Port Bouet et Vridi ;5.2519612,3.9589472
353;Pharmacie Malon ;21 27 96 14 ;A côté Grande Mosquée de Port Bouet ;Abidjan;Port Bouet;Port Bouet et Vridi ;5.2600892,3.9608932
354;Pharmacie Vridi Palm Beach ;21 27 52 04 ;Vridi, Petit Bassam ;Abidjan;Port Bouet;Port Bouet et Vridi ;5.2584913,3.9820135
355;Pharmacie Vridi Village ;21 27 58 60 ;Carrefour de Vridi village, entre SIR et IRAN ;Abidjan;Port Bouet;Gonzagueville et Adjouffou ;5.2556052,3.9974571
356;Pharmacie du Wharf ;21 27 71 31 ;Adjouffou, près du dépôt SOTRA ;Abidjan;Port Bouet;Gonzagueville et Adjouffou ;5.2477551,3.9439939
357;Pharmacie Eloma ;21 58 60 28 ;Gonzagueville, carrefour Terre rouge ;Abidjan;Port Bouet;Gonzagueville et Adjouffou ;5.2401876,3.8997739
358;Pharmacie Koffi Kra ;58 00 73 24 ;Corridor de Gonzagueville, quartier Eléphant cocoteraie ;Abidjan;Port Bouet;Gonzagueville et Adjouffou ;5.2416149,3.8926682
359;Pharmacie Route de Bassam ;21 58 63 54 ;Adjouffou, carrefour Motard ;Abidjan;Port Bouet;Gonzagueville et Adjouffou ;5.24177,3.9102893
360;Pharmacie Saint Louis de Gonzag ;21 58 71 79 ;Face Lycée municipal ;Abidjan;Port Bouet;Gonzagueville et Adjouffou ;5.249956,3.8996144
361;Pharmacie Sainte Marie d'Adjouffou ;21 58 61 46 ;Port Bouet Adjouffou ;Abidjan;Port Bouet;Gonzagueville et Adjouffou ;5.2502047,3.92390565
362;Pharmacie Santé pour tous ;21 58 76 34 ;Rte Bassam, quartier Jean FOLLY, carrefour casier ;Abidjan;Port Bouet;Gonzagueville et Adjouffou ;5.2442818,3.9131136
363;Pharmacie Boulevard de la Paix ;20 22 20 34 ;Dérrière Hotel Sebroko, près station TOTAL ;Abidjan;Attecoube;;5.3597744,4.056692
364;Pharmacie D'Agban ;20 37 22 30 ;Carrefour Cité Fairamont - Attecoubé ;Abidjan;Attecoube;;5.3584037,4.0305805
365;Pharmacie d'Attiécoubé ;20 38 07 74 ;Tout juste derrière la Station KLENZY d'Attecoube ;Abidjan;Attecoube;;5.3508779,4.0317662
366;Pharmacie Saint Etienne ;23 52 44 44 ;Abobo Doumé, face au marché de poissons. ;Abidjan;Attecoube;;5.309435,4.0376794
367;Pharmacie Fatima ;20 38 29 10 ;Attécoubé, carrefour du Pont ;Abidjan;Attecoube;;5.3470904,4.0383014
368;Pharmacie Sebroko sarl ;20 37 67 48 ;Près du grand marché d'Attiécoubé ;Abidjan;Attecoube;;5.3496033,4.0347222
369;Pharmacie An Nasr ;23 55 98 22 ;;Abidjan;Anyama;;5.503305,4.0524003
370;Pharmacie Carrefour Ancienne Gendarmerie ;23 55 64 26 ;Immeuble de l'Ancienne Gendarmerie ;Abidjan;Anyama;;5.46161295,4.0533125
371;Pharmacie du Château ;23 55 93 99 ;Route principale, non loin de la SODECI ;Abidjan;Anyama;;5.4894096,4.0517218
372;Pharmacie du Marché d'Anyama ;23 55 82 30 ;Au marché, près de la Banque Atlantique et la Poste ;Abidjan;Anyama;;5.495467,4.0519765
373;Pharmacie Eliel ;;;Abidjan;Anyama;;5.480125,4.0526398
374;Pharmacie Route d'Anyama ;23 55 82 40 ;Entrée d'Abobo, après ADM Cocoa ;Abidjan;Anyama;;5.488565,4.05159505
375;Pharmacie Akré Albert Assamoi ;57 13 68 36 ;Nouvelle gare routière ;Abidjan;Bingerville;;5.3532664,3.8775258
376;Pharmacie Carrefour Santé ;22 40 34 37 ;Carrefour Akouai, face station Corlay ;Abidjan;Bingerville;;5.3615904,3.894258
377;Pharmacie du Marché de Bingerville ;22 40 34 64 ;Ancienne gare, face à la COOPEC Bingerville ;Abidjan;Bingerville;;5.3565945,3.8830068
378;Pharmacie Charbel ;35 91 27 37 ;Quartier Cafetou ;Abengourou;;;6.7224597,3.4948841
379;Pharmacie de l'Indénié ;35 91 36 04 ;Face Grande mosquée, sur la voie principale ;Abengourou;;;6.7274919,3.4959054
380;Pharmacie du Carrefour ;35 91 35 05 ;Carrefour du Château, face à l'agence Moov ;Abengourou;;;6.7265721,3.4982741
381;Pharmacie du Commerce ;07 65 39 85 ;Quartier Commerce, face à la CIE ;Abengourou;;;6.7306108,3.4897535
382;Pharmacie du Marché ;35 91 30 09 ;Face au Marché, près de l'agence MTN ;Abengourou;;;6.7146449,3.495369
383;Pharmacie Moya ;35 91 25 04 ;Après le gare GTI, Rue Princesse ;Abengourou;;;6.7285734,3.5060495
384;Pharmacie Providence ;35 90 09 00 ;Face Station PETROCI, sur axe Agnibilekro ;Abengourou;;;6.7417344,3.5057458
385;Pharmacie du Marché ;21 30 40 63 ;Face au marché. ;Aboisso;;;5.4668689,3.2066597
386;Pharmacie K. Boilot ;35 90 25 74 ;Face à la grande mosquée ;Agnibilekro ;;;7.1343186,3.2024757
387;Pharmacie du Massan ;23 54 00 54 ;Rue du commerce, face African Petroléum ;Adzope;;;6.0978262,3.8604914
388;Pharmacie Saint Laurent ;23 54 01 34 ;Entre Hôpital général et le commissariat ;Adzope;;;6.1050622,3.8613574
389;Pharmacie de l'Agnéby ;23 54 71 47 ;Rond point de l'Agnéby, entrée de la ville ;Agboville ;;;5.9309774,4.214253
390;Pharmacie du Château ;23 54 87 21 ;Carrefour du Bonheur, Château ;Agboville ;;;5.9248272,4.2083377
391;Pharmacie Sini Keneya ;23 54 74 00 ;Rond point de Diuoulakro ;Agboville ;;;5.9323112,4.2213534
392;Pharmacie nouvelle Espoir ;33 79 80 58 ;;Biankouma ;;;7.7376491,7.6127229
393;Pharmacie de Bocanda ;31 97 81 78 ;31 97 81 78 ;Bocanda ;;;7.0667798,4.4958973
394;Pharmacie Nouvelle ;35 91 52 61 ;;Bondoukou ;;;8.0398006,2.7950906
395;Pharmacie de Bongouanou ;30 68 60 32 ;Face à l'Hôpital de Bongouanou ;Bongouanou ;;;6.65315025,4.2083527
396;Pharmacie de Sion ;30 68 61 40 ;En face du lac Sokoté ;Bongouanou ;;;6.6513489,4.2062227
397;Pharmacie de l'Orée ;21 30 08 37 ;Face Station Oil Lybia, après rond point ;Bonoua ;;;5.2711563,3.5951173
398;Pharmacie Eden ;21 31 02 07 ;Face Station Total ;Bonoua ;;;5.2692576,3.5970483
399;Pharmacie Saint Augustin ;30 68 91 83 ;;Bouafle ;;;7.9711856,3.37337175
400;Pharmacie Ayatha ;31 65 25 73 ;Air France 3 - Carrefour Boulangerie Sopim ;Bouake ;;;7.6623014,5.0181395
401;Pharmacie Cité Olympique ;31 63 04 11 ;Quartier Ahougnansou, face FIBAKO ;Bouake ;;;7.68095955,5.03491295
402;Pharmacie de la Place ;31 63 60 63 ;Quartier Commerce, face BICICI ;Bouake ;;;7.6813135,5.0300912
403;Pharmacie de Sokoura ;31 63 10 81 ;Quartier Sokoura ;Bouake ;;;7.6930155,5.0200413
404;Pharmacie du Commerce ;31 63 35 73 ;;Bouake ;;;7.6843123,5.0281441
405;Pharmacie Koko ;31 63 10 55 ;Quartier Koko, route du CHU ;Bouake ;;;7.6926932,5.0320253
406;Pharmacie moderne Kenedy ;31 63 86 52 ;;Bouake ;;;7.6878818,5.0111502
407;Pharmacie Nimbo ;31 63 20 12 ;18 logements de Bouaké ;Bouake ;;;7.6799817,5.0267466
408;Pharmacie Notre Dame de la Paix ;31 63 31 31 ;Face à la gare UTB ;Bouake ;;;7.6879666,5.0257423
409;Pharmacie nouvelle du Château ;31 63 33 01 ;;Bouake ;;;7.6840814,5.0495285
410;Pharmacie Saint Jean ;07 46 86 59 ;Quartier Ahougnansou, route du Château, près Eglise St Jean ;Bouake ;;;7.6847728,5.053092
411;Pharmacie Rehoboth ;31 63 47 10 ;Imm. Fanny, face au Nouveau Stade ;Bouake ;;;6.53973405,4.5472211
412;Pharmacie Sainte Hélène du marché ;31 65 40 56 ;Quartier Dougouba, entréé du marché de gros ;Bouake ;;;7.69458455,5.0348875
413;Pharmacie Sainte Marie de Ngattakro ;31 63 16 17 ;Route du Stade, face Eglise CEMA ;Bouake ;;;7.6827149,5.0366698
414;Pharmacie des Lagunes ;23 57 21 45 ;En face de la Mairie de Dabou ;Dabou ;;;5.3221906,4.3777754
415;Pharmacie du Marché ;23 57 45 03 ;Près du marché de Dabou ;Dabou ;;;5.3270781,4.3760448
416;Pharmacie de Toupah ;;A l'entrée du village de Toupah ;Dabou ;;;5.3330215,4.2922455
417;Pharmacie Aneaud ;32 78 28 28 ;Route de Man, carrefour de la vie ;Daloa ;;;6.8849985,6.4589538
418;Pharmacie Appaul ;32 78 35 78 ;Sur la route de Issia ;Daloa ;;;6.8835823,6.4470241
419;Pharmacie centrale ;32 78 22 43 ;;Daloa ;;;6.88232845,6.4543873
420;Pharmacie des Antilopes SARL ;32 78 80 40 ;;Daloa ;;;6.8595373,6.4346407
421;Pharmacie des garages ;32 78 71 87 ;Sur la route de Issia, avant usine CARGILL ;Daloa ;;;6.8635076,6.4451394
422;Pharmacie du commerce ;32 78 20 87 ;;Daloa ;;;5.3176557,4.0144485
423;Pharmacie du Grand marché ;32 78 35 35 ;Prolongement carrefour des grandes endémies ;Daloa ;;;6.8791876,6.456487
424;Pharmacie du Jubilé de Tazibouo ;32 78 52 52 ;Carrefour Boulangerie Julie ;Daloa ;;;6.8962937,6.4404844
425;Pharmacie du Parvis ;32 78 70 57 ;;Daloa ;;;6.8905803,6.4392571
426;Pharmacie du Progrès ;32 78 22 53 ;A côté de la grande mosquée ;Daloa ;;;6.88140135,6.4520791
427;Pharmacie Nouvelle Florel ;32 78 05 32 ;Carrefour du grand marché, gare des taxis ;Daloa ;;;6.8816965,6.4567366
428;Pharmacie Labia ;32 78 49 92 ;Carrefour Labia ;Daloa ;;;6.8752346,6.4448537
429;Pharmacie Lobia ;32 78 78 33 ;;Daloa ;;;6.8927337,6.4495996
430;Pharmacie Fatima ;32 76 33 99 ;Quartier libanais ;Divo ;;;5.8403048,5.355768
431;Pharmacie du dialogue ;32 76 31 77 ;Quartier Dialogue, sur voie principale ;Divo ;;;5.5716303,4.6584746
432;Pharmacie de la Grâce ;30 62 44 93 ;Quartier Commerce, face Hôtel Manvy ;Dimbokro ;;;6.6457585,4.7041948
433;Pharmacie de la Gare ;33 70 53 81 ;Gare de Duékoué ;Duekoue ;;;6.7469618,7.3486314
434;Pharmacie Divine Grâce ;33 70 21 23 ;Route de Guiglo, près de la mission catholique ;Duekoue ;;;5.3555309,4.0867746
435;Pharmacie Tchologo ;05 94 58 30 ;Route du Mali, face Gendarmerie nationale ;Ferkessedougou ;;;9.5999571,5.1930948
436;Pharmacie Ahouane ;32 77 82 35 ;Babré, juste après clinique Le Ghery ;Gagnoa ;;;6.1408315,5.9468299
438;Pharmacie Centrale ;31 77 24 62 ;Près du CHR deGagnoa ;Gagnoa ;;;6.1390175,5.9479101
439;Pharmacie du Château ;32 77 38 58 ;;Gagnoa ;;;6.1426036,5.9497648
440;Pharmacie du marché ;32 77 22 62 ;;Gagnoa ;;;6.1277191,5.944343
441;Pharmacie Lafia ;32 77 25 20 ;Quartier Dioulabougou, face petit marché ;Gagnoa ;;;6.138453,5.948292
442;Pharmacie Marlyns ;32 77 12 24 ;Face Collège CSK ;Gagnoa ;;;5.3812849,4.01123195
443;Pharmacie Principale ;32 77 23 16 ;;Gagnoa ;;;6.1390175,5.9479101
444;Pharmacie Saint François d'Assise ;32 77 77 93 ;;Gagnoa ;;;5.2951322,3.9599252
445;Pharmacie La Colombe ;21 30 38 52 ;En face du Cinéma Cong ;Abidjan;Grand Bassam ;;5.2113254,3.7378324
446;Pharmacie Le Réel ;21 30 33 47 ;A 100m du pont de Moossous ;Abidjan;Grand Bassam ;;5.2220563,3.7258723
447;Pharmacie Saint Amans ;21 30 11 35 ;;Abidjan;Grand Bassam ;;5.2084883,3.7346918
448;Pharmacie Wassia ;21 30 17 94 ;Près de la station corlay ;Abidjan;Grand Bassam ;;5.2082526,3.7393115
449;Pharmacie Yélé ;31 30 26 85 ;Route de l'ancienne CIE, près Hotel Keva ;Abidjan;Grand Bassam ;;5.215778,3.7405138
450;Pharmacie Nero ;34 72 46 79 ;Rue principale, face au marché ;Grand Bereby ;;;4.70149895,6.7833555
451;Pharmacie Divine Grâce ;33 70 21 79 ;Quartier résidentiel, route de Guiglo ;Guiglo ;;;5.3555309,4.0867746
452;Pharmacie Nikla ;33 70 53 81 ;A l'entrée de la ville, face petit marché ;Guiglo ;;;6.5473549,7.4894209
453;Pharmacie de Gonaté ;32 78 61 51 ;;Gonate ;;;6.9056711,6.2451747
454;Pharmacie moderne de Hiré ;30 68 50 09 ;;Hire ;;;6.18686605,5.29412395
455;Pharmacie nouvelle Espoir ;32 77 01 76 ;Face à Ecobank et près des impôts ;Issia ;;;6.4906609,6.588224
457;Pharmacie Notre Dame de la délivrance ;32 77 01 24 ;Face au sanctuaire marial ;Issia ;;;6.4883633,6.5785397
458;Pharmacie Kakoumani ;31 66 02 35 ;Centre commercial, face au commissariat ;Katiola ;;;8.1407609,5.0998787
459;Pharmacie de la Grande Mosquée ;36 86 06 40 ;;Korhogo ;;;9.4602055,5.6380506
460;Pharmacie du Marché ;36 86 39 07 ;;Korhogo ;;;9.4590461,5.63522575
461;Pharmacie Nassara ;36 86 32 64 ;;Korhogo ;;;9.4686453,5.6243674
462;Pharmacie Principale ;36 86 08 35 ;;Korhogo ;;;9.4565097,5.6322554
463;Pharmacie nouvelle de Nénié ;36 86 76 08 ;Face CIE et station Total, quartier Commerce ;Kouto ;;;9.8925246,6.4119899
464;Pharmacie de Lakota ;32 76 61 59 ;Quartier Commerce ;Lakota ;;;5.85446325,5.68091125
465;Pharmacie Nouvelle Marlodie ;32 76 61 11 ;;Lakota ;;;5.8594728,5.6773511
466;Pharmacie du Commerce ;33 79 04 27 ;;Man ;;;7.4072135,7.5519485
467;Pharmacie Khianelly ;33 79 36 82;Quartier Belleville, au pavé, route de Facobly ;Man ;;;5.338976,3.9805437
468;Pharmacie Lymanya ;33 79 03 69 ;;Man ;;;6.35569455,5.72046595
469;Pharmacie moderne de Man ;33 79 03 39 ;;Man ;;;7.4076862,7.561056
470;Pharmacie du N'Zi ;31 97 01 77 ;;M'Bahiakro ;;;7.4562293,4.3499295
471;Pharmacie des frontières ;33 70 86 81 ;;Odienne ;;;9.5056317,7.5665603
472;Pharmacie du Carrefour ;34 72 61 03 ;Carrefour du marché de Méagui ;Meagui ;;;5.299746,3.9895375
473;Pharmacie Moderne ;34 72 60 90 ;;Meagui ;;;5.4096729,6.5574046
474;Pharmacie Méagui ;34 72 65 18 ;Bd du marché, à 300m de l'hôpital ;Meagui ;;;6.42619105,6.0680147
475;Pharmacie Centrale ;30 68 41 78 ;;Oume ;;;6.37976265,5.40957575
476;Pharmacie de la Téné ;02 50 30 07 ;Quartier Zinta, carrefour UCAO ;Oume ;;;6.3853941,5.4094882
477;Pharmacie Catherine ;23 53 90 75 ;Sur l'axe central du village ;Samo ;;;5.3363127,4.0550293
478;Pharmacie Bardot 2000 ;34 71 33 91 ;Bardot, face maternité Henriette K. Bédié ;San Pedro ;;;4.7784103,6.6521028
479;Pharmacie de la Cité ;34 71 11 71 ;La Cité, juste à côté de la BICICI ;San Pedro ;;;4.7483824,6.6365566
480;Pharmacie Denise ;34 71 23 48 ;LA Cité, face à la BIAO ;San Pedro ;;;4.7464907,6.6343759
481;Pharmacie Do ;34 71 28 29 ;Situé à la gare, face Hotel de la Paix ;San Pedro ;;;4.7784309,6.648769
482;Pharmacie du Grand Marché ;34 71 55 55 ;;San Pedro ;;;4.7786624,6.6560261
483;Pharmacie du Lac ;34 71 15 69 ;Terminus du Lac ;San Pedro ;;;4.7408358,6.6437781
484;Pharmacie Les Béatitudes ;34 71 15 05 ;Face aux Grandes endémies, non loin du CHR ;San Pedro ;;;4.7457041,6.6391438
485;Pharmacie de Seweke ;40 58 14 82 ;Troute des grummiers, carrefour Iroko ;San Pedro ;;;4.765277,6.6443106
486;Pharmacie Madou ;34 71 15 51 ;A la gare, près de la station TEXACO ;San Pedro ;;;4.7757004,6.647494
487;Pharmacie Nabenou ;34 71 45 45 ;Face à la Poste de la Cité ;San Pedro ;;;4.7467271,6.6306245
488;Pharmacie Nitoro ;34 71 39 11 ;Quartier Lac, terminus taxis ;San Pedro ;;;4.7440862,6.6317346
489;Pharmacie Sainte Claudine ;34 71 44 35 ;A côté de la CNPS, en venat de la Cité ;San Pedro ;;;4.7756237,6.6497547
490;Pharmacie des Palmes ;46 30 44 57 ;;Sassandra ;;;4.9526401,6.0829947
491;Pharmacie Nouvelle de Séguéla ;32 74 05 91 ;;Seguela ;;;7.96007585,6.67396255
492;Pharmacie Nouvelle Kavoudro ;30 68 07 11 ;;Sinfra ;;;6.6233563,5.91257125
493;Pharmacie de l'Immaculée ;34 72 21 12 ;Marché de Soubré ;Soubre ;;;5.7840909,6.5936293
494;Pharmacie du Château ;34 73 59 96 ;Près du Château d'eau de la ville ;Soubre ;;;5.7915626,6.5901443
495;Pharmacie l'Emmanuel de Taabo ;09 91 52 77 ;;Taabo ;;;5.8047252,4.58594785
496;Pharmacie du Bas Cavally ;34 72 40 95 ;;Tabou ;;;4.4279197,7.3570576
497;Pharmacie Eliashib ;30 62 92 45 ;;Toumodi ;;;6.51443885,5.2770087
498;Pharmacie Mognan ;30 62 91 52 ;;Toumodi ;;;6.5562424,5.0179494
499;Pharmace moderne de Vavoua ;32 74 42 99 ;Près de l'Inspection de l'enseignement primaire ;Vavoua ;;;7.3841235,6.4805915
500;Pharmacie Agbassi ;30 64 04 12 ;Sur la grande voie, face au grand marché ;Yamoussoukro ;;;6.8199058,5.2789081
501;Pharmacie Azi ;30 64 26 86 ;;Yamoussoukro ;;;6.8141356,5.2704066
502;Pharmacie de la Fondation ;30 64 40 40 ;A 200m de la Fonfation Houphouet Boigny ;Yamoussoukro ;;;6.8028763,5.2674671
503;Pharmacie de la Mosquée ;30 64 05 33 ;Angle gauche de la grande mosquée ;Yamoussoukro ;;;6.8099719,5.2744681
504;Pharmacie des 220 logements ;30 64 22 05 ;Après la Bicici, à côté de la gare UTB ;Yamoussoukro ;;;6.8116015,5.2640058
505;Pharmacie des Lacs ;30 64 03 11 ;;Yamoussoukro ;;;6.8155977,5.2743387
506;Pharmacie Erginal ;30 64 62 21 ;;Yamoussoukro ;;;6.8246563,5.2710324
507;Pharmacie Le Bélier ;30 64 11 07 ;Qtier Habitat, face marché Légumes ;Yamoussoukro ;;;6.8226473,5.2767715
508;Pharmacie Mariel ;07 89 66 00 ;Dioulakro, carrefour Fondation FHB ;Yamoussoukro ;;;6.8013402,5.2676061
509;Pharmacie Notre Dame de Fatima ;30 64 56 89 ;Situé derrière centre commercial Mô Fêtai ;Yamoussoukro ;;;6.8096988,5.2648137
510;Pharmacie Sainte Famille ;08 85 16 16 ;Quartier SOPIM Kokrenou ;Yamoussoukro ;;;6.79329835,5.2695372